City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
verkhnevilyuysk,63.45,120.32,23.13,93,90,5.17,RU,1603585947
cayenne,4.93,-52.33,82.4,83,20,5.82,GF,1603585948
rio gallegos,-51.62,-69.22,44.6,93,90,5.82,AR,1603585948
port alberni,49.24,-124.8,46.99,56,0,4.0,CA,1603585797
haverfordwest,51.8,-4.97,53.6,76,11,25.28,GB,1603585949
rosarito,32.33,-117.03,68.0,68,90,9.17,MX,1603585949
saint-pierre,-21.34,55.48,68.0,56,0,5.82,RE,1603585806
eravur,7.77,81.61,78.04,76,100,3.85,LK,1603585949
asau,46.43,26.4,53.01,98,100,2.42,RO,1603585949
wattegama,6.8,81.48,75.54,76,100,2.42,LK,1603585950
saint-francois,46.42,3.91,46.99,100,0,6.93,FR,1603585950
merritt island,28.54,-80.67,79.0,83,20,8.05,US,1603585864
pangnirtung,66.15,-65.71,16.61,87,86,5.37,CA,1603585846
evensk,61.95,159.23,34.45,85,100,10.74,RU,1603585847
kieta,-6.22,155.63,85.75,68,73,7.16,PG,1603585951
pathein,16.78,94.73,78.03,89,39,3.67,MM,1603585951
okato,-39.2,173.88,57.99,95,53,7.0,NZ,1603585951
chandler,33.31,-111.84,84.2,25,90,5.82,US,1603585685
skjervoy,70.03,20.97,39.97,74,76,7.87,NO,1603585952
basco,20.45,121.97,79.5,84,100,31.21,PH,1603585952
saint-augustin,51.23,-58.65,46.76,93,100,21.77,CA,1603585952
bukachacha,52.98,116.92,35.08,81,58,1.79,RU,1603585952
vangaindrano,-23.35,47.6,68.29,89,51,4.12,MG,1603585952
axim,4.87,-2.24,77.43,88,52,7.14,GH,1603585953
iwaki,37.05,140.88,62.01,49,0,5.99,JP,1603585953
cubarral,3.79,-73.84,71.31,78,38,4.38,CO,1603585953
khanu woralaksaburi,16.06,99.86,81.0,71,9,2.39,TH,1603585953
belmonte,-15.86,-38.88,77.0,83,20,9.17,BR,1603585954
abu kamal,34.45,40.92,67.06,26,72,6.17,SY,1603585954
rundu,-17.93,19.77,69.42,27,3,3.76,NA,1603585954
kolondieba,11.09,-6.89,74.71,48,0,2.44,ML,1603585955
moindou,-21.69,165.68,84.2,54,75,8.05,NC,1603585955
rovaniemi,66.5,25.72,32.0,98,90,4.7,FI,1603585955
juneau,58.3,-134.42,37.0,51,90,4.7,US,1603585955
manado,1.49,124.85,84.2,79,20,1.12,ID,1603585956
larsnes,62.2,5.58,48.99,81,100,8.99,NO,1603585956
sangar,63.92,127.47,14.72,94,0,2.91,RU,1603585956
kruisfontein,-34.0,24.73,60.01,89,0,1.01,ZA,1603585957
bengkulu,-3.8,102.27,80.65,74,100,2.93,ID,1603585957
san quintin,30.48,-115.95,66.06,77,100,12.39,MX,1603585957
yurty,56.05,97.63,26.78,95,90,9.13,RU,1603585957
lujan,-34.57,-59.1,69.01,93,0,5.01,AR,1603585957
castelnaudary,43.32,1.95,51.8,93,0,2.24,FR,1603585958
tynset,62.28,10.78,35.6,87,100,10.29,NO,1603585958
port blair,11.67,92.75,81.57,76,51,0.85,IN,1603585826
mayo,38.89,-76.51,66.99,77,90,8.05,US,1603585958
lamesa,32.74,-101.95,68.0,37,90,11.41,US,1603585958
port augusta,-32.5,137.77,55.4,66,75,13.87,AU,1603585959
ulundi,-28.34,31.42,66.69,43,0,4.7,ZA,1603585959
casambalangan,18.38,122.13,81.43,84,100,11.05,PH,1603585959
yuanping,38.72,112.76,54.54,38,0,0.65,CN,1603585959
rangapara,26.82,92.65,72.66,93,42,7.02,IN,1603585959
katangli,51.71,143.23,46.71,82,42,13.85,RU,1603585960
konongo,6.62,-1.22,71.1,97,97,1.95,GH,1603585960
sheffield,53.38,-1.47,46.99,88,20,3.0,GB,1603585942
kovdor,67.57,30.48,24.57,98,97,2.62,RU,1603585960
ferrol,43.48,-8.24,61.0,87,75,8.05,ES,1603585960
kiruna,67.86,20.23,28.4,92,21,3.36,SE,1603585961
oranjestad,12.52,-70.03,84.2,79,20,20.8,AW,1603585886
kedrovyy,56.17,91.82,26.6,79,40,4.47,RU,1603585961
aykhal,66.0,111.5,8.6,92,0,6.71,RU,1603585962
vestmannaeyjar,63.44,-20.27,45.27,67,100,25.79,IS,1603585962
la asuncion,11.03,-63.86,81.07,81,92,14.63,VE,1603585962
lanxi,29.22,119.48,60.1,68,60,2.24,CN,1603585962
camargo,27.67,-105.17,78.69,22,97,6.2,MX,1603585963
bambanglipuro,-7.95,110.28,81.66,77,69,8.28,ID,1603585963
gamba,-2.65,10.0,76.33,90,100,7.74,GA,1603585963
soyo,-6.13,12.37,76.86,83,100,7.43,AO,1603585963
los llanos de aridane,28.66,-17.92,69.8,64,75,8.05,ES,1603585823
grindavik,63.84,-22.43,42.8,75,75,27.51,IS,1603585964
naze,28.37,129.48,75.2,50,20,10.29,JP,1603585964
christchurch,-43.53,172.63,80.6,32,67,14.99,NZ,1603585701
najran,17.49,44.13,60.8,25,0,3.36,SA,1603585874
ixtapa,20.7,-105.2,86.0,79,90,4.7,MX,1603585964
baisha,26.52,110.93,63.91,61,66,0.49,CN,1603585965
darhan,49.49,105.92,35.73,81,19,2.64,MN,1603585965
carlsbad,33.16,-117.35,69.01,77,1,11.41,US,1603585803
svetlyy,54.67,20.13,50.0,100,31,4.47,RU,1603585965
tocopilla,-22.09,-70.2,62.6,65,50,6.51,CL,1603585966
pervomayskoye,43.92,46.71,54.19,59,3,1.92,RU,1603585966
urucurituba,-2.68,-57.67,78.28,82,48,3.04,BR,1603585966
podor,16.65,-14.96,87.8,43,0,10.74,MR,1603585966
wasilla,61.58,-149.44,42.8,48,90,10.29,US,1603585834
xinzhi,36.5,111.7,58.73,37,97,4.74,CN,1603585967
pascagoula,30.37,-88.56,73.4,88,40,11.01,US,1603585731
camp verde,34.56,-111.85,69.8,28,1,10.29,US,1603585967
abeche,13.83,20.83,77.27,22,14,7.31,TD,1603585967
sur,22.57,59.53,74.43,54,0,8.99,OM,1603585816
sao luis,-2.53,-44.3,80.6,83,0,10.29,BR,1603585968
maceio,-9.67,-35.74,73.4,94,0,3.36,BR,1603585913
kisarawe,-6.9,39.07,75.2,94,20,6.93,TZ,1603585968
avera,33.19,-82.53,73.4,88,1,3.36,US,1603585968
vardo,70.37,31.11,39.15,74,99,18.66,NO,1603585969
qasigiannguit,68.82,-51.19,19.4,57,88,16.11,GL,1603585730
grand gaube,-20.01,57.66,69.01,91,49,8.01,MU,1603585969
tezu,27.92,96.17,72.7,86,76,1.83,IN,1603585970
jucuaran,13.25,-88.25,69.82,100,100,1.59,SV,1603585970
iqaluit,63.75,-68.51,26.6,79,75,4.7,CA,1603585812
guerrero negro,27.98,-114.06,67.46,80,0,16.08,MX,1603585889
nybro,56.74,15.91,46.0,100,96,4.7,SE,1603585970
adrar,20.5,-10.07,87.4,13,100,4.81,MR,1603585971
phan thiet,10.93,108.1,79.41,78,11,2.17,VN,1603585971
bulgan,48.81,103.53,32.83,87,9,4.59,MN,1603585715
biloela,-24.42,150.5,77.86,64,89,11.5,AU,1603585971
la union,-5.4,-80.75,67.05,68,35,13.29,PE,1603585972
chara,56.91,118.26,25.36,91,100,0.65,RU,1603585972
moose factory,51.26,-80.61,28.4,86,90,8.05,CA,1603585972
jinchang,38.5,102.17,49.6,44,78,9.1,CN,1603585972
santa isabel do rio negro,-0.41,-65.02,75.79,90,97,2.1,BR,1603585972
rondonopolis,-16.47,-54.64,78.08,78,90,4.54,BR,1603585973
thinadhoo,0.53,72.93,83.3,74,80,11.56,MV,1603585973
presque isle,46.68,-68.02,39.2,80,1,8.05,US,1603585973
pavlodar,52.3,76.95,24.8,73,0,13.42,KZ,1603585973
krasnoye,49.91,24.61,46.4,100,90,2.24,UA,1603585973
yumen,40.28,97.2,39.07,70,99,5.32,CN,1603585974
radha kund,27.53,77.48,69.76,26,0,2.98,IN,1603585974
chapada dos guimaraes,-15.46,-55.75,78.8,74,40,5.82,BR,1603585892
zilair,52.23,57.44,43.43,97,98,4.23,RU,1603585974
quatre cocos,-20.21,57.76,69.8,94,75,11.41,MU,1603585974
aloleng,16.13,119.78,82.67,77,100,3.94,PH,1603585975
russell,32.35,-85.2,69.8,94,90,2.68,US,1603585803
cap malheureux,-19.98,57.61,69.01,91,42,8.01,MU,1603585975
cabo san lucas,22.89,-109.91,86.0,58,5,8.05,MX,1603585975
kahului,20.89,-156.47,91.4,46,40,12.75,US,1603585975
amahai,-3.33,128.92,84.07,68,100,0.89,ID,1603585889
acu,-5.58,-36.91,77.79,71,27,13.4,BR,1603585942
menongue,-14.66,17.69,66.02,46,36,3.47,AO,1603585735
yerbogachen,61.28,108.01,23.59,96,100,2.77,RU,1603585977
zharkent,44.16,80.0,37.45,74,61,3.27,KZ,1603585978
raudeberg,61.99,5.14,48.0,84,100,15.93,NO,1603585978
kyra,49.58,111.98,34.34,84,100,2.89,RU,1603585978
panguna,-6.32,155.48,80.89,74,64,2.01,PG,1603585979
klaksvik,62.23,-6.59,46.4,81,100,21.92,FO,1603585981
siilinjarvi,63.08,27.67,32.0,96,40,8.05,FI,1603585981
el alto,-4.27,-81.21,61.18,88,6,14.63,PE,1603585982
naryan-mar,67.67,53.09,15.75,94,45,12.77,RU,1603585982
vila,42.03,-8.16,55.99,94,100,18.99,PT,1603585982
awjilah,29.11,21.29,62.92,78,0,8.14,LY,1603585983
yuancheng,36.65,107.79,51.73,60,83,0.92,CN,1603585983
kenai,60.55,-151.26,50.0,65,75,11.41,US,1603585983
marawi,8.0,124.29,80.01,83,100,3.0,PH,1603585983
conceicao da barra,-18.59,-39.73,74.39,91,100,8.03,BR,1603585983
maumere,-8.62,122.21,85.33,66,100,3.78,ID,1603585983
bay-khaak,51.17,94.5,25.3,87,100,10.04,RU,1603585985
mindelo,16.89,-24.98,78.8,83,75,23.04,CV,1603585985
grand-santi,4.25,-54.38,73.62,96,96,2.28,GF,1603585986
santa helena de goias,-17.81,-50.6,73.53,82,90,8.57,BR,1603585986
eregli,37.51,34.05,56.95,36,87,2.04,TR,1603585986
battle creek,42.32,-85.18,41.0,65,75,4.7,US,1603585800
vysokopillya,47.49,33.53,51.8,76,0,4.85,UA,1603585986
patacamaya,-17.23,-67.92,53.17,59,5,6.29,BO,1603585987
ustka,54.58,16.86,53.65,88,100,11.07,PL,1603585987
